InvoiceDate,sales,mom_pct
2010-12-01,823746.14,
2011-01-01,691364.56,-16.07067682283767
2011-02-01,523631.89,-24.261103288256493
2011-03-01,717639.36,37.050354209710164
2011-04-01,537808.621,-25.0586504898505
2011-05-01,770536.02,43.273274156012455
2011-06-01,761739.9,-1.1415585737315714
2011-07-01,719221.191,-5.581788350590545
2011-08-01,759138.38,5.550057409251163
2011-09-01,1058590.172,39.446272233001835
2011-10-01,1154979.3,9.105424417259744
2011-11-01,1509496.33,30.694665263697797
2011-12-01,638792.68,-57.681733482584875
